Datetime,open,high,low,close
2016-01-01,4199.9,4221.55,4188.6,4218.15
2016-01-04,4202.4,4213.3,4133.65,4137.8
2016-01-05,4157.05,4158.0,4126.65,4140.25
2016-01-06,4144.4,4153.3,4111.8,4118.05
2016-01-07,4084.45,4072.5,4014.5,4021.05
2016-01-08,4044.35,4059.15,4031.2,4048.45
2016-01-11,4008.35,4041.35,3986.25,4022.65
2016-01-12,4032.8,4030.35,3982.5,3992.95
2016-01-13,4017.5,4030.5,3931.55,4004.75
2016-01-14,3955.15,4018.95,3941.0,3988.05
2016-01-15,3999.45,3999.35,3912.8,3916.4
2016-01-18,3907.6,3922.05,3848.5,3854.4
2016-01-19,3870.55,3912.75,3859.4,3905.15
2016-01-20,3861.95,3845.3,3795.95,3840.7
2016-01-21,3870.05,3883.0,3801.15,3819.15
2016-01-22,3858.1,3898.4,3845.4,3895.95
2016-01-25,3920.9,3929.4,3898.45,3903.55
2016-01-27,3921.35,3925.0,3894.45,3904.4
2016-01-28,3901.4,3918.75,3894.85,3899.55
2016-01-29,3895.8,3972.25,3907.05,3969.4
2016-02-01,3986.0,3990.0,3961.95,3967.2
2016-02-02,3975.8,3979.55,3901.05,3907.45
2016-02-03,3878.25,3889.1,3857.0,3867.5
2016-02-04,3890.7,3906.7,3855.7,3883.9
2016-02-05,3886.8,3936.5,3881.0,3937.95
2016-02-08,3934.65,3949.0,3879.3,3879.9
2016-02-09,3847.0,3852.7,3827.4,3837.6
2016-02-10,3818.7,3820.05,3771.4,3794.85
2016-02-11,3783.35,3777.5,3653.55,3664.5
2016-02-12,3684.75,3680.65,3591.45,3654.5
2016-02-15,3702.95,3769.5,3712.95,3759.85
2016-02-16,3780.45,3775.4,3689.55,3691.65
2016-02-17,3698.6,3726.45,3640.9,3727.7
2016-02-18,3757.15,3774.45,3726.6,3755.15
2016-02-19,3749.55,3771.55,3738.2,3765.55
2016-02-22,3771.4,3790.3,3768.2,3784.5
2016-02-23,3788.0,3776.5,3716.95,3719.15
2016-02-24,3705.6,3708.9,3671.7,3677.5
2016-02-25,3682.8,3678.4,3643.8,3654.7
2016-02-26,3684.15,3686.55,3652.3,3679.4
2016-02-29,3686.3,3705.0,3589.05,3665.7
2016-03-01,3684.2,3784.6,3685.3,3783.6
2016-03-02,3829.05,3862.75,3826.8,3858.35
2016-03-03,3885.4,3908.95,3872.05,3906.3
2016-03-04,3921.55,3924.4,3895.15,3925.0
2016-03-08,3919.05,3941.2,3898.1,3920.35
2016-03-09,3896.0,3942.35,3887.55,3941.6
2016-03-10,3948.8,3941.9,3901.05,3917.8
2016-03-11,3916.95,3945.25,3905.55,3930.25
2016-03-14,3946.1,3964.25,3930.4,3940.4
2016-03-15,3942.9,3937.85,3900.3,3905.8
2016-03-16,3903.05,3918.75,3869.1,3918.45
2016-03-17,3947.1,3959.55,3911.05,3915.0
2016-03-18,3937.05,3973.15,3927.05,3971.25
2016-03-21,3979.6,4027.35,3984.2,4025.0
2016-03-22,4023.15,4037.3,3997.0,4032.25
2016-03-23,4034.0,4036.05,4012.9,4030.0
2016-03-28,4045.2,4037.85,3966.2,3986.45
2016-03-29,3974.45,3992.45,3958.7,3968.45
2016-03-30,3998.25,4044.15,3996.85,4042.75
2016-03-31,4040.95,4061.0,4030.05,4059.0
2016-04-01,4042.1,4054.05,4020.75,4045.65
2016-04-04,4055.5,4066.0,4039.0,4064.05
2016-04-05,4053.15,4050.05,3980.05,3981.35
2016-04-06,4001.15,3999.85,3981.1,4000.25
2016-04-07,4005.1,3994.5,3959.35,3964.05
2016-04-08,3962.05,3976.15,3954.6,3974.45
2016-04-11,3983.25,4030.5,3957.0,4028.1
2016-04-12,4029.3,4054.0,4030.55,4050.35
2016-04-13,4085.35,4125.5,4093.2,4116.1
2016-04-18,4142.35,4157.05,4114.1,4153.3
2016-04-20,4173.05,4174.5,4140.1,4159.75
2016-04-21,4178.95,4188.95,4141.4,4148.05
2016-04-22,4145.4,4161.7,4138.15,4152.5
2016-04-25,4149.5,4153.4,4115.3,4133.05
2016-04-26,4116.7,4183.45,4112.75,4175.8
2016-04-27,4171.8,4194.8,4177.2,4188.15
2016-04-28,4185.3,4195.5,4117.7,4124.85
2016-04-29,4122.75,4143.65,4092.45,4125.6
2016-05-02,4114.15,4125.45,4100.75,4121.5
2016-05-03,4130.6,4158.9,4083.4,4083.7
2016-05-04,4075.8,4084.05,4052.85,4056.05
2016-05-05,4069.4,4088.05,4054.85,4071.2
2016-05-06,4061.35,4073.3,4046.2,4072.55
2016-05-09,4084.15,4138.0,4092.6,4136.3
2016-05-10,4138.85,4147.95,4122.0,4145.85
2016-05-11,4100.05,4147.2,4089.95,4128.7
2016-05-12,4138.4,4159.85,4131.75,4159.05
2016-05-13,4146.9,4149.5,4105.35,4115.9
2016-05-16,4124.35,4138.15,4094.2,4133.95
2016-05-17,4153.05,4171.4,4142.9,4146.2
2016-05-18,4128.1,4145.9,4111.2,4144.05
2016-05-19,4143.6,4137.45,4085.5,4087.9
2016-05-20,4099.2,4106.35,4068.0,4078.65
2016-05-23,4105.1,4098.15,4060.95,4062.2
2016-05-24,4067.75,4073.05,4050.65,4072.45
2016-05-25,4099.45,4155.35,4105.3,4152.6
2016-05-26,4171.2,4222.1,4160.3,4222.1
2016-05-27,4225.75,4267.5,4230.3,4262.55
2016-05-30,4273.25,4287.2,4263.45,4277.5
2016-05-31,4293.45,4291.0,4255.15,4270.15
2016-06-01,4278.4,4296.15,4270.6,4274.75
2016-06-02,4265.05,4299.85,4261.95,4294.9
2016-06-03,4310.8,4318.85,4289.85,4291.8
2016-06-06,4298.75,4299.95,4276.85,4285.5
2016-06-07,4301.25,4329.25,4292.7,4316.4
2016-06-08,4326.2,4327.85,4312.9,4324.05
2016-06-09,4327.7,4324.1,4284.75,4292.85
2016-06-10,4285.9,4323.8,4274.35,4277.45
2016-06-13,4242.3,4249.6,4221.2,4247.4
2016-06-14,4258.25,4254.7,4229.85,4250.35
2016-06-15,4266.1,4298.2,4260.2,4293.15
2016-06-16,4285.5,4275.75,4233.0,4263.6
2016-06-17,4286.45,4293.85,4261.3,4275.7
2016-06-20,4251.0,4313.4,4249.75,4311.5
2016-06-21,4321.5,4313.25,4299.65,4304.75
2016-06-22,4305.8,4316.3,4280.2,4295.8
2016-06-23,4298.15,4330.95,4287.75,4325.95
2016-06-24,4205.95,4242.15,4149.8,4234.25
2016-06-27,4217.8,4262.9,4231.9,4250.8
2016-06-28,4255.8,4279.35,4259.2,4271.45
2016-06-29,4295.2,4316.5,4291.9,4313.0
2016-06-30,4341.45,4364.6,4334.55,4360.4
2016-07-01,4373.2,4399.15,4381.05,4387.3
2016-07-04,4412.75,4427.65,4411.75,4415.55
2016-07-05,4418.55,4415.95,4391.05,4398.7
2016-07-07,4404.95,4412.25,4392.7,4402.3
2016-07-08,4407.0,4403.95,4375.4,4395.65
2016-07-11,4440.15,4470.1,4447.65,4468.65
2016-07-12,4485.3,4496.85,4474.2,4494.0
2016-07-13,4506.05,4507.5,4477.3,4483.55
2016-07-14,4488.25,4512.6,4482.25,4511.5
2016-07-15,4515.85,4528.35,4490.2,4498.55
2016-07-18,4512.6,4522.05,4473.0,4475.3
2016-07-19,4483.05,4494.25,4461.75,4495.3
2016-07-20,4486.45,4516.0,4500.6,4516.4
2016-07-21,4527.55,4526.4,4487.3,4489.55
2016-07-22,4496.85,4516.75,4482.6,4516.8
2016-07-25,4510.25,4565.65,4512.8,4561.8
2016-07-26,4565.95,4573.7,4536.75,4540.25
2016-07-27,4549.65,4578.55,4533.0,4556.3
2016-07-28,4569.85,4587.8,4565.9,4585.85
2016-07-29,4587.75,4594.05,4574.3,4581.15
2016-08-01,4589.9,4618.7,4552.45,4586.0
2016-08-02,4587.3,4604.45,4564.95,4570.3
2016-08-03,4574.9,4562.55,4510.7,4516.55
2016-08-04,4548.95,4543.65,4505.7,4534.9
2016-08-05,4553.8,4602.3,4560.7,4598.9
2016-08-08,4616.95,4626.6,4608.2,4615.9
2016-08-09,4630.5,4621.55,4583.15,4600.6
2016-08-10,4608.25,4606.4,4539.95,4542.3
2016-08-11,4544.85,4558.65,4521.55,4556.9
2016-08-12,4561.4,4598.9,4565.25,4588.05
2016-08-16,4595.55,4603.35,4564.4,4587.5
2016-08-17,4587.85,4603.1,4575.15,4586.15
2016-08-18,4600.8,4620.6,4602.8,4613.8
2016-08-19,4626.8,4627.6,4607.35,4618.6
2016-08-22,4619.25,4625.25,4588.9,4593.2
2016-08-23,4595.15,4597.8,4566.55,4595.75
2016-08-24,4601.4,4612.9,4594.1,4608.15
2016-08-25,4619.3,4625.9,4576.2,4580.05
2016-08-26,4592.6,4598.85,4563.2,4575.6
2016-08-29,4580.65,4596.2,4557.55,4597.75
2016-08-30,4612.25,4659.0,4614.55,4658.95
2016-08-31,4664.45,4694.9,4666.3,4676.85
2016-09-01,4680.95,4689.1,4660.55,4671.65
2016-09-02,4678.15,4691.6,4665.9,4685.4
2016-09-06,4708.55,4760.55,4713.75,4758.55
2016-09-07,4771.65,4770.45,4747.25,4752.95
2016-09-08,4751.9,4773.65,4743.25,4770.0
2016-09-09,4764.7,4758.3,4722.2,4726.05
2016-09-12,4654.25,4659.8,4624.9,4634.05
2016-09-14,4633.0,4654.1,4623.6,4655.65
2016-09-15,4660.0,4660.75,4637.15,4658.3
2016-09-16,4677.6,4712.05,4656.75,4672.2
2016-09-19,4678.8,4694.8,4671.15,4689.35
2016-09-20,4693.15,4685.95,4666.3,4671.6
2016-09-21,4681.45,4698.2,4664.2,4672.0
2016-09-22,4722.35,4728.55,4703.7,4722.85
2016-09-23,4732.95,4734.75,4707.75,4709.1
2016-09-26,4702.0,4700.1,4659.65,4663.4
2016-09-27,4677.8,4685.3,4647.1,4662.95
2016-09-28,4660.4,4690.35,4656.3,4683.95
2016-09-29,4707.95,4709.25,4561.7,4594.35
2016-09-30,4571.1,4615.25,4561.85,4615.05
2016-10-03,4639.15,4691.4,4628.9,4691.95
2016-10-04,4707.45,4715.65,4691.85,4714.2
2016-10-05,4731.15,4726.75,4695.95,4702.95
2016-10-06,4720.35,4729.8,4672.7,4692.05
2016-10-07,4697.55,4699.35,4663.35,4682.1
2016-10-10,4702.25,4703.6,4682.45,4688.3
2016-10-13,4669.0,4655.45,4589.8,4612.45
2016-10-14,4625.3,4632.0,4603.9,4627.9
2016-10-17,4639.3,4631.05,4580.95,4590.3
2016-10-18,4607.7,4673.15,4615.3,4669.0
2016-10-19,4683.65,4678.2,4652.15,4663.55
2016-10-20,4684.95,4700.4,4675.75,4685.45
2016-10-21,4690.65,4686.75,4662.35,4684.35
2016-10-24,4695.65,4704.4,4680.95,4690.9
2016-10-25,4695.75,4691.5,4665.05,4684.5
2016-10-26,4668.85,4664.15,4631.15,4638.4
2016-10-27,4635.15,4629.45,4598.5,4630.1
2016-10-28,4635.55,4655.3,4619.1,4655.15
2016-10-30,4672.55,4668.45,4648.5,4649.1
2016-11-01,4667.25,4676.8,4650.0,4654.35
2016-11-02,4610.1,4607.6,4581.25,4588.15
2016-11-03,4578.9,4600.0,4553.1,4557.6
2016-11-04,4567.7,4563.15,4502.95,4521.8
2016-11-07,4574.2,4575.85,4547.0,4550.45
2016-11-08,4576.85,4582.7,4545.4,4578.6
2016-11-09,4312.35,4526.0,4272.9,4522.25
2016-11-10,4577.75,4607.65,4559.85,4565.0
2016-11-11,4527.55,4526.7,4426.95,4444.7
2016-11-15,4430.75,4394.7,4306.35,4308.7
2016-11-16,4366.55,4367.25,4304.65,4315.25
2016-11-17,4319.8,4341.95,4295.3,4314.9
2016-11-18,4317.5,4330.75,4289.1,4306.1
2016-11-21,4324.4,4310.5,4214.8,4228.5
