Datetime,open,high,low,close
2016-01-01,4199.9,4221.55,4188.6,4218.15
2016-01-08,4202.4,4213.3,4014.5,4048.45
2016-01-15,4008.35,4041.35,3912.8,3916.4
2016-01-22,3907.6,3922.05,3795.95,3895.95
2016-01-29,3920.9,3972.25,3894.45,3969.4
2016-02-05,3986.0,3990.0,3855.7,3937.95
2016-02-12,3934.65,3949.0,3591.45,3654.5
2016-02-19,3702.95,3775.4,3640.9,3765.55
2016-02-26,3771.4,3790.3,3643.8,3679.4
2016-03-04,3686.3,3924.4,3589.05,3925.0
2016-03-11,3919.05,3945.25,3887.55,3930.25
2016-03-18,3946.1,3973.15,3869.1,3971.25
2016-03-25,3979.6,4037.3,3984.2,4030.0
2016-04-01,4045.2,4061.0,3958.7,4045.65
2016-04-08,4055.5,4066.0,3954.6,3974.45
2016-04-15,3983.25,4125.5,3957.0,4116.1
2016-04-22,4142.35,4188.95,4114.1,4152.5
2016-04-29,4149.5,4195.5,4092.45,4125.6
2016-05-06,4114.15,4158.9,4046.2,4072.55
2016-05-13,4084.15,4159.85,4089.95,4115.9
2016-05-20,4124.35,4171.4,4068.0,4078.65
2016-05-27,4105.1,4267.5,4050.65,4262.55
2016-06-03,4273.25,4318.85,4255.15,4291.8
2016-06-10,4298.75,4329.25,4274.35,4277.45
2016-06-17,4242.3,4298.2,4221.2,4275.7
2016-06-24,4251.0,4330.95,4149.8,4234.25
2016-07-01,4217.8,4399.15,4231.9,4387.3
2016-07-08,4412.75,4427.65,4375.4,4395.65
2016-07-15,4440.15,4528.35,4447.65,4498.55
2016-07-22,4512.6,4526.4,4461.75,4516.8
2016-07-29,4510.25,4594.05,4512.8,4581.15
2016-08-05,4589.9,4618.7,4505.7,4598.9
2016-08-12,4616.95,4626.6,4521.55,4588.05
2016-08-19,4595.55,4627.6,4564.4,4618.6
2016-08-26,4619.25,4625.9,4563.2,4575.6
2016-09-02,4580.65,4694.9,4557.55,4685.4
2016-09-09,4708.55,4773.65,4713.75,4726.05
2016-09-16,4654.25,4712.05,4623.6,4672.2
2016-09-23,4678.8,4734.75,4664.2,4709.1
2016-09-30,4702.0,4709.25,4561.7,4615.05
2016-10-07,4639.15,4729.8,4628.9,4682.1
2016-10-14,4702.25,4703.6,4589.8,4627.9
2016-10-21,4639.3,4700.4,4580.95,4684.35
2016-10-28,4695.65,4704.4,4598.5,4655.15
2016-11-04,4672.55,4676.8,4502.95,4521.8
2016-11-11,4574.2,4607.65,4272.9,4444.7
2016-11-18,4430.75,4394.7,4289.1,4306.1
2016-11-25,4324.4,4342.15,4214.8,4337.95
2016-12-02,4325.7,4421.45,4318.9,4328.4
2016-12-09,4329.3,4432.5,4317.05,4425.2
2016-12-16,4414.4,4408.55,4338.9,4350.45
2016-12-23,4345.95,4345.4,4227.35,4254.4
2016-12-30,4240.25,4362.85,4190.95,4353.25
2017-01-06,4371.9,4446.0,4338.2,4416.55
2017-01-13,4421.4,4521.2,4407.2,4500.65
