Datetime,open,high,low,close
2016-01-01,7938.45,7972.5,7909.95,7957.45
2016-01-04,7924.55,7937.45,7781.5,7789.15
2016-01-05,7828.4,7831.1,7763.3,7779.0
2016-01-06,7788.05,7800.95,7721.2,7733.4
2016-01-07,7673.35,7673.35,7557.25,7569.65
2016-01-08,7611.65,7633.25,7581.15,7607.15
2016-01-11,7527.45,7604.75,7494.55,7572.1
2016-01-12,7587.2,7587.2,7488.0,7510.65
2016-01-13,7562.8,7590.85,7426.1,7556.65
2016-01-14,7470.95,7604.45,7444.15,7541.0
2016-01-15,7561.65,7565.85,7427.45,7433.95
2016-01-18,7425.3,7463.35,7336.4,7351.15
2016-01-19,7381.8,7462.5,7364.4,7440.05
2016-01-20,7350.1,7419.95,7241.6,7317.0
2016-01-21,7376.65,7398.15,7250.25,7280.05
2016-01-22,7355.7,7432.7,7328.15,7422.9
2016-01-25,7468.75,7487.1,7421.6,7436.4
2016-01-27,7474.4,7476.65,7420.05,7431.35
2016-01-28,7426.5,7468.8,7412.9,7426.6
2016-01-29,7413.35,7575.3,7409.3,7559.4
2016-02-01,7589.5,7600.3,7541.6,7549.45
2016-02-02,7566.65,7576.1,7428.2,7440.7
2016-02-03,7392.45,7419.35,7350.8,7373.3
2016-02-04,7411.45,7456.9,7366.75,7412.8
2016-02-05,7418.25,7501.75,7406.85,7500.1
2016-02-08,7489.7,7512.3,7363.5,7365.05
2016-02-09,7299.85,7323.1,7275.55,7301.0
2016-02-10,7260.45,7270.45,7177.8,7220.25
2016-02-11,7208.0,7208.0,6960.2,6975.7
2016-02-12,7023.65,7034.2,6869.6,6970.55
2016-02-15,7057.35,7182.4,7057.35,7158.2
2016-02-16,7198.55,7198.55,7037.95,7044.6
2016-02-17,7058.15,7123.35,6961.15,7120.7
2016-02-18,7177.4,7215.0,7128.0,7178.5
2016-02-19,7170.55,7226.75,7146.05,7202.0
2016-02-22,7213.6,7252.2,7201.35,7232.9
2016-02-23,7240.3,7240.3,7094.55,7094.55
2016-02-24,7075.0,7090.7,7009.95,7020.45
2016-02-25,7029.85,7032.9,6961.45,6983.4
2016-02-26,7039.3,7052.3,6985.25,7035.95
2016-02-29,7050.45,7094.0,6826.35,6998.55
2016-03-01,7038.25,7235.5,7038.25,7228.55
2016-03-02,7321.7,7379.95,7308.4,7376.25
2016-03-03,7422.2,7483.65,7406.25,7473.05
2016-03-04,7502.35,7504.7,7444.85,7501.85
2016-03-08,7486.4,7527.0,7442.4,7482.0
