Datetime,open,high,low,close
2016-01-01,8085.4,8126.0,8060.9,8114.75
2016-01-04,8082.35,8101.55,7948.6,7956.45
2016-01-05,7994.4,7997.85,7933.45,7953.15
2016-01-06,7964.1,7980.7,7898.6,7912.55
2016-01-07,7849.4,7849.4,7720.2,7729.8
2016-01-08,7776.15,7803.95,7748.05,7778.6
2016-01-11,7702.05,7770.3,7660.65,7730.2
2016-01-12,7749.8,7749.8,7652.3,7673.55
2016-01-13,7720.85,7747.95,7571.5,7708.55
2016-01-14,7615.9,7746.4,7587.3,7682.2
2016-01-15,7705.55,7706.95,7552.4,7560.45
2016-01-18,7546.6,7583.75,7442.7,7452.5
2016-01-19,7485.75,7568.6,7466.05,7547.8
2016-01-20,7465.1,7465.1,7340.95,7421.55
2016-01-21,7482.5,7507.25,7344.95,7373.6
2016-01-22,7451.65,7531.75,7422.4,7522.45
2016-01-25,7569.55,7586.8,7522.5,7533.2
2016-01-27,7566.05,7574.05,7514.8,7526.3
2016-01-28,7523.3,7561.6,7511.75,7521.7
2016-01-29,7512.4,7670.35,7511.95,7658.55
2016-02-01,7688.35,7695.55,7643.05,7650.05
2016-02-02,7669.6,7678.55,7520.95,7533.5
2016-02-03,7482.5,7510.4,7441.5,7459.9
2016-02-04,7507.05,7546.5,7447.55,7500.4
2016-02-05,7504.85,7600.75,7492.95,7597.65
2016-02-08,7591.95,7617.55,7477.6,7478.95
2016-02-09,7416.4,7431.35,7380.95,7398.5
2016-02-10,7364.05,7369.7,7270.85,7316.85
2016-02-11,7296.25,7297.85,7055.0,7068.65
2016-02-12,7117.3,7119.6,6950.4,7064.05
2016-02-15,7155.45,7284.45,7155.45,7259.85
2016-02-16,7301.55,7302.1,7129.5,7136.15
2016-02-17,7149.05,7207.6,7040.0,7207.6
2016-02-18,7264.45,7298.75,7207.0,7260.35
2016-02-19,7251.55,7301.55,7227.95,7280.55
2016-02-22,7292.35,7331.25,7284.85,7316.85
2016-02-23,7324.9,7324.9,7187.0,7192.5
2016-02-24,7164.05,7174.2,7097.25,7106.45
2016-02-25,7117.5,7118.3,7049.8,7068.7
2016-02-26,7128.5,7141.75,7071.8,7122.85
2016-02-29,7138.15,7183.6,6924.4,7091.9
2016-03-01,7132.05,7333.7,7132.05,7327.85
2016-03-02,7416.95,7475.05,7407.3,7466.25
2016-03-03,7519.3,7567.85,7492.25,7557.15
2016-03-04,7589.2,7594.55,7534.7,7593.0
2016-03-08,7579.65,7624.05,7537.15,7577.1
2016-03-09,7533.5,7629.5,7518.85,7624.1
2016-03-10,7637.3,7638.6,7545.05,7575.7
2016-03-11,7577.3,7635.65,7554.8,7606.25
2016-03-14,7637.55,7675.45,7607.3,7622.8
2016-03-15,7629.45,7629.45,7544.95,7554.35
2016-03-16,7548.6,7588.0,7487.25,7584.2
2016-03-17,7640.8,7668.15,7570.65,7576.95
2016-03-18,7622.45,7692.3,7601.7,7684.2
2016-03-21,7703.05,7797.65,7703.05,7789.7
2016-03-22,7784.3,7814.3,7732.75,7800.35
2016-03-23,7806.2,7815.65,7762.05,7796.4
2016-03-28,7829.75,7830.15,7676.5,7716.35
2016-03-29,7692.8,7737.8,7664.95,7682.35
2016-03-30,7739.05,7828.95,7733.85,7820.75
2016-03-31,7818.55,7859.15,7792.15,7841.0
2016-04-01,7812.35,7836.7,7764.85,7809.95
2016-04-04,7833.2,7858.35,7802.55,7848.9
2016-04-05,7830.05,7830.05,7689.4,7692.1
2016-04-06,7732.1,7732.8,7690.45,7725.25
2016-04-07,7736.1,7736.1,7644.6,7651.15
2016-04-08,7650.95,7678.25,7635.6,7671.95
2016-04-11,7689.85,7785.15,7633.45,7773.65
2016-04-12,7779.4,7827.65,7774.85,7819.05
2016-04-13,7887.35,7968.7,7887.35,7949.2
2016-04-18,8004.9,8027.75,7948.7,8015.85
2016-04-20,8056.85,8056.85,7988.7,8027.7
2016-04-21,8063.2,8086.65,7993.65,8007.55
2016-04-22,8003.3,8035.45,7986.7,8014.75
2016-04-25,8007.4,8020.85,7940.15,7974.05
2016-04-26,7942.05,8077.15,7934.65,8058.7
2016-04-27,8048.75,8097.1,8048.4,8080.7
2016-04-28,8075.5,8098.55,7945.2,7959.5
2016-04-29,7954.75,7999.2,7899.6,7959.8
2016-05-02,7939.9,7960.05,7909.05,7946.9
2016-05-03,7965.9,8024.8,7872.1,7874.9
2016-05-04,7858.0,7877.85,7818.35,7824.5
2016-05-05,7852.1,7895.65,7824.75,7858.7
2016-05-06,7839.85,7864.05,7803.05,7859.85
2016-05-09,7882.7,7991.0,7882.7,7985.4
2016-05-10,7990.65,8012.75,7956.85,8003.7
2016-05-11,7918.65,8010.65,7895.95,7971.55
2016-05-12,7992.6,8036.25,7976.6,8031.3
2016-05-13,8008.3,8012.55,7917.75,7941.1
2016-05-16,7958.75,7992.55,7899.8,7979.9
2016-05-17,8016.0,8055.25,7997.05,8002.8
2016-05-18,7965.25,8000.25,7929.65,7992.05
2016-05-19,7994.8,7994.8,7885.0,7885.0
2016-05-20,7911.5,7929.2,7849.7,7871.35
2016-05-23,7924.85,7925.85,7838.05,7841.1
2016-05-24,7852.35,7868.9,7825.5,7865.3
2016-05-25,7919.6,8036.45,7919.4,8027.45
2016-05-26,8066.5,8170.65,8042.5,8167.8
2016-05-27,8173.5,8260.7,8173.5,8245.6
2016-05-30,8265.15,8297.0,8245.75,8269.4
2016-05-31,8305.45,8305.45,8230.05,8255.85
2016-06-01,8275.05,8312.9,8264.35,8271.15
2016-06-02,8252.55,8324.8,8249.25,8311.65
2016-06-03,8342.55,8359.45,8307.55,8307.55
2016-06-06,8323.5,8331.1,8278.4,8295.95
2016-06-07,8327.1,8381.75,8309.3,8351.7
2016-06-08,8373.35,8374.3,8344.3,8363.25
2016-06-09,8369.65,8369.65,8285.15,8298.5
2016-06-10,8285.1,8360.9,8261.3,8267.8
2016-06-13,8199.95,8219.85,8160.15,8210.15
2016-06-14,8230.45,8230.45,8168.7,8209.05
2016-06-15,8239.3,8308.4,8224.1,8295.45
2016-06-16,8279.1,8279.1,8176.4,8234.7
2016-06-17,8280.55,8297.15,8235.65,8255.6
2016-06-20,8214.45,8339.45,8206.55,8331.6
2016-06-21,8351.65,8351.65,8306.95,8312.0
2016-06-22,8316.25,8339.4,8259.3,8298.15
2016-06-23,8306.6,8379.2,8288.1,8365.15
2016-06-24,8130.95,8201.45,8025.15,8182.55
2016-06-27,8148.6,8234.7,8148.6,8208.4
2016-06-28,8215.6,8263.45,8213.6,8247.05
2016-06-29,8293.05,8334.7,8282.3,8324.55
2016-06-30,8381.95,8430.15,8367.65,8414.8
2016-07-01,8442.8,8491.05,8442.8,8466.75
2016-07-04,8518.0,8543.05,8510.25,8517.1
2016-07-05,8523.75,8523.75,8467.05,8480.0
2016-07-07,8492.2,8508.75,8468.35,8490.85
2016-07-08,8499.0,8499.0,8437.1,8479.2
2016-07-11,8565.95,8629.2,8562.35,8621.85
2016-07-12,8656.65,8683.4,8635.55,8674.85
2016-07-13,8698.6,8703.9,8649.15,8660.05
2016-07-14,8670.6,8720.95,8658.0,8714.75
2016-07-15,8722.95,8752.85,8674.8,8695.6
2016-07-18,8723.75,8743.5,8649.75,8649.75
2016-07-19,8669.4,8695.2,8628.4,8693.6
2016-07-20,8675.45,8730.65,8675.45,8727.35
2016-07-21,8749.75,8750.4,8675.2,8676.2
2016-07-22,8692.8,8729.2,8661.9,8728.65
2016-07-25,8711.3,8825.55,8711.05,8815.75
2016-07-26,8822.3,8838.9,8768.3,8774.45
2016-07-27,8794.15,8852.7,8763.4,8805.75
2016-07-28,8831.85,8868.95,8820.25,8862.2
2016-07-29,8865.15,8874.5,8832.65,8843.5
2016-08-01,8859.25,8917.45,8790.35,8850.45
2016-08-02,8855.25,8892.3,8811.2,8824.6
2016-08-03,8834.65,8834.65,8713.15,8723.3
2016-08-04,8785.25,8787.35,8701.9,8753.55
2016-08-05,8792.15,8887.5,8789.7,8878.7
2016-08-08,8914.25,8931.8,8898.1,8908.7
2016-08-09,8937.55,8938.05,8844.95,8875.9
2016-08-10,8892.5,8894.65,8760.8,8765.35
2016-08-11,8770.0,8798.85,8727.5,8794.0
2016-08-12,8802.85,8881.85,8802.85,8856.2
2016-08-16,8873.9,8890.2,8809.2,8849.9
2016-08-17,8851.85,8883.85,8821.75,8842.4
2016-08-18,8871.45,8908.9,8871.45,8891.8
2016-08-19,8916.9,8916.9,8871.25,8893.25
2016-08-22,8893.45,8910.45,8837.8,8847.95
2016-08-23,8850.9,8854.25,8793.95,8852.2
2016-08-24,8862.75,8884.35,8846.25,8871.75
2016-08-25,8894.25,8909.4,8809.2,8816.6
2016-08-26,8840.35,8851.95,8779.25,8803.85
2016-08-29,8814.65,8847.55,8773.1,8845.4
2016-08-30,8874.2,8967.15,8873.4,8963.45
2016-08-31,8975.35,9037.3,8975.35,8998.6
2016-09-01,9009.3,9029.0,8971.45,8995.5
2016-09-02,9008.1,9035.5,8981.45,9017.25
2016-09-06,9065.95,9167.5,9065.95,9159.45
2016-09-07,9187.05,9188.15,9137.05,9146.8
2016-09-08,9144.15,9184.7,9125.2,9176.4
2016-09-09,9163.75,9163.75,9082.2,9087.2
2016-09-12,8954.4,8966.2,8903.9,8921.4
2016-09-14,8920.95,8953.75,8898.05,8952.4
2016-09-15,8961.2,8963.65,8914.35,8956.45
2016-09-16,8991.95,9059.9,8956.5,8984.75
2016-09-19,8997.9,9029.65,8981.0,9016.45
2016-09-20,9023.45,9024.45,8971.0,8985.6
2016-09-21,9002.95,9038.15,8969.65,8982.7
2016-09-22,9083.65,9103.65,9046.75,9079.45
2016-09-23,9098.25,9101.4,9044.75,9046.35
2016-09-26,9034.05,9034.3,8947.95,8955.75
2016-09-27,8983.65,9003.0,8923.7,8953.95
2016-09-28,8947.55,9004.4,8939.0,8983.6
2016-09-29,9032.15,9040.0,8763.05,8835.25
2016-09-30,8789.8,8868.55,8763.65,8856.0
2016-10-03,8900.0,9000.7,8875.3,8994.05
2016-10-04,9025.5,9039.1,8992.0,9033.55
2016-10-05,9066.25,9066.6,8994.0,9003.45
2016-10-06,9036.7,9057.65,8950.75,8982.4
2016-10-07,8995.2,9000.1,8929.75,8961.7
2016-10-10,9004.35,9014.1,8966.65,8977.2
2016-10-13,8937.65,8937.65,8792.45,8830.8
2016-10-14,8854.75,8865.45,8809.65,8851.8
2016-10-17,8875.75,8876.7,8769.2,8788.65
2016-10-18,8821.05,8953.55,8821.05,8937.15
2016-10-19,8968.55,8968.55,8908.95,8929.3
2016-10-20,8969.8,9001.3,8951.35,8970.9
2016-10-21,8981.3,8981.3,8923.8,8963.8
