Datetime,open,high,low,close
2016-01-01 09:00:00,8085.4,8087.0,8060.9,8087.0
2016-01-01 10:00:00,8087.0,8104.3,8080.75,8099.55
2016-01-01 11:00:00,8099.2,8105.75,8094.6,8101.65
2016-01-01 12:00:00,8101.65,8102.9,8089.75,8094.05
2016-01-01 13:00:00,8093.6,8119.95,8082.35,8118.75
2016-01-01 14:00:00,8118.75,8126.0,8113.1,8120.6
2016-01-01 15:00:00,8120.6,8121.55,8113.5,8114.75
2016-01-04 09:00:00,8082.35,8101.55,8064.35,8083.05
2016-01-04 10:00:00,8083.05,8083.05,8030.25,8037.95
2016-01-04 11:00:00,8037.95,8037.95,7974.4,7984.55
2016-01-04 12:00:00,7984.55,8001.45,7980.9,7988.65
2016-01-04 13:00:00,7988.65,7989.9,7953.05,7953.05
2016-01-04 14:00:00,7953.05,7974.4,7950.4,7974.4
2016-01-04 15:00:00,7974.4,7977.75,7948.6,7956.45
2016-01-05 09:00:00,7994.4,7997.85,7949.6,7966.3
2016-01-05 10:00:00,7966.3,7984.15,7949.5,7950.5
2016-01-05 11:00:00,7950.85,7953.1,7933.45,7951.8
2016-01-05 12:00:00,7951.8,7979.35,7949.0,7975.6
2016-01-05 13:00:00,7975.6,7981.85,7959.65,7966.55
2016-01-05 14:00:00,7966.55,7979.0,7953.95,7959.8
2016-01-05 15:00:00,7959.8,7965.9,7952.5,7953.15
2016-01-06 09:00:00,7964.1,7964.1,7938.55,7946.35
2016-01-06 10:00:00,7946.35,7974.1,7946.1,7973.05
2016-01-06 11:00:00,7972.45,7977.65,7959.15,7966.45
2016-01-06 12:00:00,7966.45,7971.85,7956.7,7961.15
2016-01-06 13:00:00,7961.15,7980.7,7927.35,7927.35
2016-01-06 14:00:00,7927.35,7936.35,7898.6,7932.35
2016-01-06 15:00:00,7932.35,7932.75,7909.55,7912.55
2016-01-07 09:00:00,7849.4,7849.4,7797.35,7805.4
2016-01-07 10:00:00,7805.4,7812.5,7782.45,7804.7
2016-01-07 11:00:00,7804.7,7807.9,7759.6,7763.6
2016-01-07 12:00:00,7763.6,7772.3,7744.35,7765.7
2016-01-07 13:00:00,7765.6,7774.4,7755.85,7769.15
2016-01-07 14:00:00,7769.1,7772.85,7733.1,7737.0
2016-01-07 15:00:00,7737.0,7747.9,7720.2,7729.8
2016-01-08 09:00:00,7776.15,7803.95,7764.4,7774.75
2016-01-08 10:00:00,7774.75,7774.75,7754.15,7758.8
2016-01-08 11:00:00,7758.8,7768.35,7748.05,7754.95
2016-01-08 12:00:00,7754.95,7788.75,7752.25,7784.0
2016-01-08 13:00:00,7784.0,7794.9,7770.4,7790.3
2016-01-08 14:00:00,7790.3,7799.75,7769.75,7769.75
2016-01-08 15:00:00,7769.75,7778.6,7763.1,7778.6
2016-01-11 09:00:00,7702.05,7702.05,7660.65,7682.75
2016-01-11 10:00:00,7682.75,7710.05,7682.75,7706.45
2016-01-11 11:00:00,7706.45,7734.65,7706.3,7730.75
2016-01-11 12:00:00,7730.75,7732.1,7696.2,7704.55
2016-01-11 13:00:00,7704.55,7735.45,7702.3,7728.9
2016-01-11 14:00:00,7728.9,7770.3,7728.9,7751.3
2016-01-11 15:00:00,7751.3,7751.3,7716.2,7730.2
2016-01-12 09:00:00,7749.8,7749.8,7720.2,7725.75
2016-01-12 10:00:00,7725.75,7731.3,7678.3,7683.15
2016-01-12 11:00:00,7683.15,7706.35,7677.55,7686.25
2016-01-12 12:00:00,7686.25,7687.2,7665.5,7676.3
2016-01-12 13:00:00,7676.3,7684.05,7652.3,7681.85
2016-01-12 14:00:00,7681.85,7683.25,7659.45,7673.3
2016-01-12 15:00:00,7673.3,7678.8,7666.95,7673.55
2016-01-13 09:00:00,7720.85,7747.95,7714.9,7741.75
2016-01-13 10:00:00,7741.75,7743.65,7718.15,7718.15
2016-01-13 11:00:00,7718.15,7719.05,7601.45,7632.4
2016-01-13 12:00:00,7632.4,7632.65,7577.2,7583.15
2016-01-13 13:00:00,7583.15,7690.8,7571.5,7669.8
2016-01-13 14:00:00,7669.8,7737.95,7656.6,7720.15
2016-01-13 15:00:00,7720.15,7724.5,7702.0,7708.55
2016-01-14 09:00:00,7615.9,7639.85,7587.3,7613.45
2016-01-14 10:00:00,7613.45,7658.2,7598.15,7657.65
2016-01-14 11:00:00,7657.65,7679.75,7650.3,7672.0
2016-01-14 12:00:00,7672.0,7714.25,7670.35,7709.45
2016-01-14 13:00:00,7709.45,7746.4,7685.7,7703.25
2016-01-14 14:00:00,7704.55,7711.1,7657.6,7678.8
2016-01-14 15:00:00,7678.8,7689.95,7669.9,7682.2
2016-01-15 09:00:00,7705.55,7706.95,7670.8,7680.85
