Datetime,open,high,low,close
2016-01-01,7938.45,7972.5,7909.95,7957.45
2016-01-08,7924.55,7937.45,7557.25,7607.15
2016-01-15,7527.45,7604.75,7426.1,7433.95
2016-01-22,7425.3,7463.35,7241.6,7422.9
2016-01-29,7468.75,7575.3,7409.3,7559.4
2016-02-05,7589.5,7600.3,7350.8,7500.1
2016-02-12,7489.7,7512.3,6869.6,6970.55
2016-02-19,7057.35,7226.75,6961.15,7202.0
2016-02-26,7213.6,7252.2,6961.45,7035.95
2016-03-04,7050.45,7504.7,6826.35,7501.85
2016-03-11,7486.4,7547.05,7424.65,7514.35
2016-03-18,7542.6,7613.35,7405.25,7600.6
2016-03-25,7619.2,7727.5,7619.2,7705.2
2016-04-01,7741.0,7777.15,7583.05,7712.75
2016-04-08,7729.95,7764.3,7526.95,7558.3
2016-04-15,7576.3,7864.65,7517.1,7848.1
2016-04-22,7908.1,7978.4,7843.2,7902.55
2016-04-29,7894.8,7991.85,7789.1,7845.5
2016-05-06,7822.7,7889.95,7678.75,7734.25
2016-05-13,7755.25,7915.9,7755.25,7813.6
2016-05-20,7831.2,7940.05,7735.8,7760.0
2016-05-27,7813.95,8164.05,7715.85,8149.35
2016-06-03,8166.5,8261.9,8134.35,8212.85
2016-06-10,8228.75,8294.8,8162.95,8172.65
2016-06-17,8102.25,8213.05,8064.0,8156.05
2016-06-24,8115.75,8285.3,7927.35,8076.75
2016-07-01,8039.35,8356.65,8039.35,8327.6
2016-07-08,8377.35,8398.3,8287.65,8325.55
2016-07-15,8413.35,8594.75,8408.9,8538.3
2016-07-22,8564.05,8587.1,8476.95,8546.45
2016-07-29,8519.95,8673.65,8519.55,8642.3
2016-08-05,8654.5,8711.15,8518.35,8679.3
2016-08-12,8710.1,8727.8,8540.2,8656.0
2016-08-19,8670.25,8694.3,8600.7,8667.15
2016-08-26,8667.0,8684.65,8548.0,8573.55
2016-09-02,8583.75,8824.05,8544.0,8804.7
2016-09-09,8852.7,8968.7,8852.7,8864.6
2016-09-16,8732.95,8847.4,8688.95,8780.8
2016-09-23,8791.55,8892.2,8757.75,8825.15
2016-09-30,8807.9,8808.0,8555.35,8620.95
2016-10-07,8666.15,8806.35,8635.15,8695.8
2016-10-14,8735.35,8745.35,8541.7,8586.45
2016-10-21,8612.15,8726.9,8506.35,8691.15
2016-10-28,8709.85,8736.35,8550.4,8639.95
2016-11-04,8672.6,8677.7,8400.5,8435.65
2016-11-11,8535.75,8598.1,8003.0,8311.4
2016-11-18,8284.85,8286.95,8048.4,8067.75
2016-11-25,8102.1,8121.45,7916.45,8110.15
2016-12-02,8080.65,8250.7,8066.7,8088.0
2016-12-09,8088.75,8274.8,8056.9,8255.35
2016-12-16,8225.35,8229.35,8122.3,8139.55
2016-12-23,8126.0,8132.5,7942.15,7989.85
2016-12-30,7965.1,8197.0,7893.9,8174.25
2017-01-06,8210.1,8306.5,8134.3,8248.2
2017-01-13,8259.1,8457.65,8228.0,8397.8
2017-01-20,8390.95,8460.2,8341.0,8343.85
2017-01-27,8329.6,8672.55,8328.05,8641.95
2017-02-03,8635.45,8756.9,8537.8,8738.55
2017-02-10,8785.45,8821.65,8715.15,8794.05
2017-02-17,8818.85,8885.9,8713.05,8816.95
2017-02-24,8818.55,8981.9,8809.85,8941.2
2017-03-03,8943.7,8992.35,8860.3,8902.2
2017-03-10,8915.1,8977.75,8892.25,8936.85
2017-03-17,9091.65,9214.1,9060.7,9152.15
2017-03-24,9166.95,9166.95,9019.4,9100.4
2017-03-31,9093.45,9191.15,9024.65,9170.7
2017-04-07,9220.6,9273.8,9188.7,9196.9
2017-04-14,9225.6,9246.25,9145.0,9147.3
2017-04-21,9144.75,9217.8,9075.3,9119.3
2017-04-28,9135.35,9367.05,9130.75,9304.65
2017-05-05,9339.85,9374.55,9270.0,9277.6
2017-05-12,9311.45,9450.3,9298.25,9408.55
2017-05-19,9433.55,9532.2,9390.75,9435.4
2017-05-26,9480.25,9604.45,9341.9,9580.9
2017-06-02,9560.05,9672.65,9550.15,9642.35
2017-06-09,9656.3,9706.3,9608.3,9666.65
2017-06-16,9646.7,9653.65,9560.8,9578.0
2017-06-23,9626.4,9698.6,9565.35,9576.15
2017-06-30,9594.05,9615.25,9448.8,9524.95
2017-07-07,9587.95,9700.6,9543.85,9665.35
2017-07-14,9698.25,9913.3,9668.1,9886.7
2017-07-21,9908.15,9928.2,9813.8,9914.15
2017-07-28,9936.8,10114.75,9919.6,10002.95
2017-08-04,10034.7,10136.3,9988.5,10068.5
2017-08-11,10074.8,10087.8,9685.7,9712.95
2017-08-18,9755.75,9947.6,9754.55,9834.45
2017-08-25,9864.25,9884.15,9740.25,9865.7
2017-09-01,9907.15,9983.25,9783.95,9971.05
2017-09-08,9984.15,9984.15,9861.3,9924.4
2017-09-15,9971.75,10131.4,9971.75,10085.4
2017-09-22,10133.1,10178.5,9952.95,9963.6
2017-09-29,9960.1,9960.1,9688.4,9782.95
2017-10-06,9893.3,9989.25,9831.15,9987.2
2017-10-13,9988.2,10191.75,9955.85,10161.75
2017-10-20,10207.4,10251.65,10124.15,10125.95
2017-10-27,10176.65,10364.8,10124.8,10319.2
2017-11-03,10353.85,10461.55,10324.0,10453.65
2017-11-10,10431.75,10490.4,10254.25,10334.4
2017-11-17,10322.0,10343.45,10094.2,10274.75
2017-11-24,10287.2,10404.45,10261.85,10393.3
2017-12-01,10361.05,10409.3,10109.55,10119.8
2017-12-08,10175.05,10270.75,10033.7,10267.85
2017-12-15,10310.5,10373.05,10141.8,10326.8
2017-12-22,10263.1,10500.95,10076.15,10486.6
2017-12-29,10512.3,10552.25,10461.55,10526.45
2018-01-05,10531.7,10565.85,10405.1,10561.35
2018-01-12,10591.7,10690.0,10591.7,10667.3
2018-01-19,10718.5,10906.5,10666.75,10900.05
2018-01-26,10883.2,11109.6,10883.2,11064.55
2018-02-02,11079.35,11171.3,10736.25,10737.5
2018-02-09,10604.3,10702.4,10282.0,10466.8
2018-02-16,10518.2,10617.85,10434.85,10451.85
2018-02-23,10488.9,10499.0,10303.3,10492.55
2018-03-02,10526.55,10631.25,10448.6,10449.95
2018-03-09,10428.3,10441.15,10141.55,10229.8
2018-03-16,10301.6,10478.6,10180.85,10220.05
2018-03-23,10215.35,10227.25,9952.1,9986.8
2018-03-30,9989.15,10207.6,9958.8,10121.25
2018-04-06,10151.65,10350.35,10111.55,10320.95
2018-04-13,10333.7,10519.8,10331.0,10483.7
2018-04-20,10398.3,10593.2,10398.3,10579.85
2018-04-27,10592.8,10719.5,10536.75,10694.7
2018-05-04,10705.75,10783.85,10601.7,10614.85
2018-05-11,10653.15,10811.7,10635.7,10798.55
2018-05-18,10815.15,10928.95,10589.35,10604.45
2018-05-25,10616.7,10628.0,10417.95,10611.2
2018-06-01,10648.35,10764.65,10558.7,10686.45
2018-06-08,10765.95,10817.5,10551.0,10759.35
2018-06-15,10781.85,10893.05,10755.45,10815.85
2018-06-22,10830.2,10836.95,10701.55,10824.35
2018-06-29,10822.9,10830.7,10558.25,10711.4
2018-07-06,10732.35,10816.15,10605.3,10770.0
2018-07-13,10838.3,11078.1,10807.35,11021.95
2018-07-20,11018.95,11075.4,10926.55,11011.95
2018-07-27,11019.85,11282.3,11018.5,11273.6
2018-08-03,11296.65,11390.25,11235.05,11362.25
2018-08-10,11401.5,11495.1,11359.8,11421.3
2018-08-17,11369.6,11486.25,11340.75,11465.55
2018-08-24,11502.1,11620.7,11501.0,11556.3
2018-08-31,11605.85,11760.15,11603.95,11675.45
2018-09-07,11751.8,11751.8,11393.9,11586.05
2018-09-14,11570.25,11572.2,11250.6,11510.75
2018-09-21,11464.95,11464.95,10869.25,11160.55
2018-09-28,11164.4,11167.75,10850.35,10931.75
2018-10-05,10930.9,11035.45,10263.55,10263.55
2018-10-12,10310.15,10492.3,10139.0,10465.2
2018-10-19,10524.2,10709.5,10249.75,10316.55
2018-10-26,10405.85,10405.85,10004.8,10012.65
2018-11-02,10078.1,10606.15,10020.4,10557.2
2018-11-09,10558.75,10619.45,10477.2,10581.55
2018-11-16,10607.8,10695.05,10441.9,10680.85
2018-11-23,10731.25,10774.25,10513.15,10522.3
2018-11-30,10568.3,10922.3,10490.45,10882.8
2018-12-07,10930.7,10941.05,10588.3,10702.2
2018-12-14,10523.35,10838.6,10334.2,10802.35
2018-12-21,10853.2,10984.75,10739.45,10754.85
2018-12-28,10780.9,10892.7,10534.85,10858.9
2019-01-04,10881.7,10922.85,10628.8,10730.7
2019-01-11,10804.85,10870.35,10734.0,10783.55
2019-01-18,10807.0,10930.4,10692.45,10907.35
2019-01-25,10919.35,10987.2,10757.25,10775.45
2019-02-01,10792.45,10983.25,10583.95,10892.75
2019-02-08,10876.75,11117.9,10814.55,10932.6
2019-02-15,10930.9,10930.9,10621.45,10728.8
2019-02-22,10738.65,10808.8,10585.9,10789.7
2019-03-01,10813.25,10939.55,10729.45,10861.65
2019-03-08,10864.85,11088.75,10818.7,11036.6
2019-03-15,11068.75,11486.9,11060.9,11431.85
2019-03-22,11473.85,11572.35,11412.75,11462.6
2019-03-29,11383.95,11630.1,11311.95,11611.4
2019-04-05,11665.2,11760.85,11559.65,11684.1
2019-04-12,11704.35,11710.05,11549.8,11631.55
2019-04-19,11667.0,11856.15,11648.55,11746.85
2019-04-26,11727.05,11796.6,11564.9,11748.7
2019-05-03,11748.75,11789.1,11656.0,11709.9
2019-05-10,11605.8,11655.55,11251.9,11256.8
2019-05-17,11258.7,11424.1,11108.45,11417.25
2019-05-24,11651.9,12041.0,11592.3,11845.3
2019-05-31,11855.5,12039.15,11812.9,11918.25
2019-06-07,11953.75,12102.05,11769.65,11863.75
2019-06-14,11934.9,12000.3,11798.9,11810.85
2019-06-21,11844.0,11844.0,11625.2,11732.95
2019-06-28,11725.8,11910.8,11651.15,11793.9
2019-07-05,11839.9,11981.5,11798.5,11802.05
2019-07-12,11770.4,11770.4,11461.45,11547.65
2019-07-19,11614.75,11706.6,11400.35,11437.15
